golden_key_no	golden_key_name	golden_key_name
1	병원비 지불	병원비 5만원을 납부합니다.
2	복권 당첨	당첨금 20만원을 받습니다.
3	무인도 탈출	무인도에 갇혀 있을 때 사용할 수 있습니다. (1회 사용 후 반납)
4	무인도	무인도로 곧장 가세요.(출발지 월급은 받을 수 없습니다.)
5	파티 초대권	장기자랑을 하세요. 참가금 20만원을 납부합니다.
6	과속운전 벌금	벌칙금 5만원을 납부합니다.
7	해외 유학	학교 등록금으로 10만원을 납부합니다.
8	연금 혜택	노후연금을 5만원 받으세요.	
9	이사	뒤로 세 칸 옮기세요.
10	고속도로	출발지까지 가서 월급을 받으세요.
11	우승	상금 10만원을 받습니다.
12	우대권	상대방이 소유한 장소에 통행료 없이 머무를 수 있습니다. (1회 사용 후 반납)
13	건물수리비 지불	모든 건물의 수리비를 지불하세요. (호텔 10만원, 빌딩 6만원, 별장 3만원)
14	방범비	모든 건물의 방범비를 지불하세요. (호텔 5만원, 빌딩 3만원, 별장 1만원)
15	관광 여행	서울로 가세요.(출발지를 지나갈 경우 월급을 받습니다.)
16	생일 축하	모두에게 축하금 1만원씩 받습니다.
17	장학금 혜택	장학금 10만원을 은행에서 받습니다.
18	정기 종합소득세	모든 건물의 종합소득세를 지불하세요. (호텔 15만원, 빌딩 10만원, 별장 3만원)
19	노벨평화상 수상	수상금 30만원을 받습니다.
20	세계일주 초대권	현재 위치에서 한 바퀴 도세요. (다른 곳으로 갈 수 없으며, 출발지를 지나갈 경우 월급을 받을 수 있습니다.)
21	사회복지기금 배당	사회복지기금 접수처로 가세요. (출발지를 지나갈 경우, 월급을 받을 수 있습니다.)
